hose_in,scfm,visc_cP,vol_gal,pre_psi,time_min,peak_gpm,avg_gpm,avg_pressure_psig,time_50pct_min,time_90pct_min,note
2.0,10,1,5000,10,55.322379784710066,206.0438058669276,90.3201284900115,1.8642754656380112,19.966666666666665,46.96666666666667,
2.0,10,1,5000,15,47.06561610814842,247.0894487167917,106.1684110769482,2.9737673837429677,15.933333333333334,39.2,
2.0,10,1,5000,20,39.86255269989113,282.3735889864207,125.32305556885728,4.411248445820185,13.433333333333334,32.9,
2.0,10,1,6500,10,88.22012364608204,211.1340874861756,73.66239992204636,0.5908537710271865,39.2,77.36666666666666,
2.0,10,1,6500,15,85.98487466104503,251.3724509413431,75.58029986329325,0.7521771599440971,36.96666666666667,75.13333333333334,
2.0,10,1,6500,20,83.7499872547421,286.1420813786566,77.59990956196354,0.9280586962520605,34.766666666666666,72.9,
2.0,10,50,5000,10,58.83799485291301,160.5997752510486,84.892783507789,2.5515340294547384,22.9,49.46666666666667,
2.0,10,50,5000,15,51.052748872404685,195.7343193639251,97.85330049600479,3.8508268023764383,19.366666666666667,42.6,
2.0,10,50,5000,20,44.71372626612098,226.265275829831,111.7021845918086,5.388461612584684,16.733333333333334,37.4,
2.0,10,50,6500,10,91.60872902612212,164.9320044079865,70.92046617665014,1.0490577959140701,40.43333333333333,79.46666666666667,
2.0,10,50,6500,15,89.37386174973744,199.425305705744,72.6965430178523,1.2553653049386855,38.233333333333334,77.2,
2.0,10,50,6500,20,87.13953167740588,229.5419686256766,74.56274992042451,1.476165952831909,36.06666666666667,75.0,
2.0,10,100,5000,10,64.77595909225185,173.3408275772055,77.13144496263115,2.856960731668759,24.0,54.43333333333333,
2.0,10,100,5000,15,56.26343517882198,198.1585012572099,88.81670979832629,3.817496979559322,18.833333333333332,46.233333333333334,
2.0,10,100,5000,20,48.408968717616936,218.0920933128034,103.1651328101185,5.113298271608125,15.733333333333333,39.1,
